
[INFO]-----------------start time: Sun Sep 17 18:24:04 2017---------------------
[DEBUG]insert into area values('110114009001', '东辰社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009002', '佳运园社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009003', '天通苑第二社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009004', '天通西苑第一社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009005', '天通东苑第一社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009006', '天通东苑第二社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009007', '天通苑第一社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009008', '嘉诚花园社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009009', '清水园社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009010', '北方明珠社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009011', '天通东苑第四社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009012', '顶秀清溪社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009013', '奥北中心社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009014', '溪城珑原社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009015', '正辰中心社区居委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('110114009201', '陈营村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/11/01/14/110114009.html');
[DEBUG]insert into area values('120117110201', '大八亩坨村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110202', '小八亩坨村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110203', '齐家埠村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110204', '任凤庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110205', '兴隆淀村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110206', '东移民村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110207', '北移民村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110208', '张尔沽村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110209', '李台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110210', '兰台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110211', '薄台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110212', '郝台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110213', '冯庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110214', '张善庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('120117110215', '于台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/12/01/17/120117110.html');
[DEBUG]insert into area values('130109109201', '南孟村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109202', '北堤里村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109203', '小吴村村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109204', '北汪村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109205', '西凝仁村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109206', '南凝仁村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109207', '杜家庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109208', '韩家洼村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109209', '康村村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109210', '秦家庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109211', '南乡村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109212', '贤庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109213', '东只甲村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130109109214', '西只甲村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/09/130109109.html');
[DEBUG]insert into area values('130184103201', '正莫村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/84/130184103.html');
[DEBUG]insert into area values('130184103202', '岸城村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/84/130184103.html');
[DEBUG]insert into area values('130184103203', '车固村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/84/130184103.html');
[DEBUG]insert into area values('130184103204', '留祥村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/84/130184103.html');
[DEBUG]insert into area values('130184103205', '康庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/01/84/130184103.html');
[DEBUG]insert into area values('130229114201', '郭家屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114206', '刘典屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114207', '曹庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114210', '麦坡村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114211', '辘轳庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114212', '四角山村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114214', '西大泉村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114215', '东大泉村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114221', '姚官屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114240', '杏树峪村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114241', '黄家山村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114242', '鸭子峪村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114259', '北王庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114260', '白各庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114261', '代官屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114262', '小李庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114263', '大李庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114264', '边家庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114265', '王乐庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114266', '许庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114267', '门小庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114268', '范家定府村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114269', '范家庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114270', '双龙庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114271', '阮庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114272', '邢家坞村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114273', '小狼虎庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114274', '大狼虎庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114275', '北辛庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114276', '麻山寺村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114277', '邵官屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114278', '门庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114279', '王各庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114280', '小港村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114281', '小黄庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114282', '大黄庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114283', '刘辛庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114284', '新高庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114285', '尚庄前街村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114286', '尚庄中街村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114287', '尚庄后街村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114288', '朱官屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114289', '铁匠庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114290', '徐家屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130229114291', '晓乐屯村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/29/130229114.html');
[DEBUG]insert into area values('130283110201', '沙河驿村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110202', '二店子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110203', '红庙子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110204', '李店子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110205', '管庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110206', '段家岭村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110207', '潘庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110208', '上炉村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110209', '下炉村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110210', '孟台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110211', '窝子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110212', '刘台子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110213', '代庄村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110214', '轩坡子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110215', '唐庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110216', '葛庄子村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110217', '前沙窝铺村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110218', '刘庄子村村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110219', '北沙窝铺村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283110401', '首钢金结厂社区', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283110.html');
[DEBUG]insert into area values('130283203201', '闫家店二村村委会', 'repair', 'http://www.stats.gov.cn/tjsj/tjbz/tjyqhdmhcxhfdm/2016/13/02/83/130283203.html');
